"id1","affil1"
"7927",", IBM Almaden Research Center, 650 Harry Road, CA 95120, San Jose, USA"
"7930",", IIT Bombay"
"7987",", University of California, San Diego, USA"
"5613","28msec Inc., Zurich, Switzerland"
"9530","28msec, Inc."
"7952","76 Patision Street, Athens University of Economics and Business, Athens, Greece"
"7569","Aalborg Univ."
"7608","Aalborg Univ., Aalborg, The Netherlands"
"946","Aalborg University"
"2336","Aalborg University, Aalborg, Denmark"
"2367","Aalborg University, Denmark"
"8298","Aalborg University, Denmark, Ost, Denmark"
"651","Advanced Data Management Technologies Laboratory, Department of Computer Science, University of Pittsburgh, Pittsburgh, PA"
"7572","Agricultural Univ. of Athens"
"8865","Alma Mater Studiorum—Università di Bologna, Bologna, Italy"
"8445","Almaden"
"5887","Almaden Research Center, San Jose, CA, USA"
"672","Amazon Corp., Seattle"
"8128","Amazon.com, Seattle"
"8425","Applications Research Laboratory, Corporate Technology Group, Intel Corporation, USA"
"3893","Aristotle University, Thessaloniki, Greece"
"2341","Arizona State Univ., Tempe, AZ"
"2634","Arizona State University"
"494","Arizona State University, Arizona"
"2385","Arizona State University, Tempe, AZ"
"5629","Arizona State University, Tempe, AZ, USA"
"9469","Arizona State University, Tempe, USA"
"3068","Aster Data"
"9563","Aster Data Systems"
"5130","ASU, Tempe, AZ"
"4046","AT & T Labs-Research"
"4168","AT & T Labs-Research, Florham Park, NJ"
"9264","AT & T Labs-Research, Florham Park, USA 07932"
"3435","AT&T"
"6808","AT&T Laboratories"
"6259","AT&T Laboratories - Research, Florham Park, NJ, USA"
"1635","AT&T Labs"
"1702","AT&T Labs - Research"
"4264","AT&T Labs - Research, Florham Park, NJ"
"5865","AT&T Labs - Research, Florham Park, NJ, USA"
"7429","AT&T Labs -- Research"
"7761","AT&T Labs &ndash;&#8211; Research, 180 Park Avenue, Bldg 103, Florham Park, NJ 07932, USA; E-mail: divesh@research.att.com"
"2240","AT&T Labs Inc."
"6367","AT&T Labs Inc. - Research, Florham Park, NJ, USA"
"454","AT&T Labs Research"
"7730","AT&T Labs Research, 180 Park Avenue, Room E243, Florham Park, NJ 07932, USA; E-mail: mff@research.att.com"
"7699","AT&T Labs Research, Florham Park, N.J., USA; e-mail: divesh@research.att.com"
"1072","AT&T Labs Research, Florham Park, NJ"
"5996","AT&T Labs Research, Florham Park, NJ, USA"
"7733","AT&T Labs Research; E-mail: suciu@research.att.com"
"7080","AT&T Labs---Research"
"7659","AT&T Labs---Research, Florham Park, NJ"
"3142","AT&T Labs--Research"
"3117","AT&T Labs--Research, Florham Park, NJ"
"8034","AT&T Labs--Research, NJ"
"8024","AT&T Labs--Research, USA"
"103","AT&T Labs-Research"
"7737","AT&T Labs-Research, 180 Park Ave., Room E 233, Florham Park, NJ 07932-0971, USA; http://www.research.att.com/~suciu"
"7710","AT&T Labs-Research, 180 Park Avenue, Bldg. 103, Florham Park, NJ 07932, USA; e-mail: {sihem, divesh}@research.att.com"
"8948","AT&T Labs-Research, Florham Park NJ"
"2964","AT&T Labs-Research, Florham Park, NJ"
"5773","AT&T Labs-Research, New Jersey, NJ, USA"
"1456","AT&T Labs-Research, NJ"
"8577","AT&T Labs-Research, USA"
"9240","AT&T Labs, Florham Park, NJ"
"6156","AT&T Labs, Florham Park, NJ, USA"
